!cd $DIR; PYTHONPATH=/content/$DIR python3.8 project/run_fast_tensor.py --BACKEND cpu --HIDDEN 100 --DATASET simple --RATE 0.05

/bin/bash: line 1: cd: mle-module-3-HarshiniDonepudi: No such file or directory
Epoch 0, Time: 21.2956s, Loss: 7.139978660957263, Correct: 46
Epoch 1, Time: 0.1108s, Loss: 4.08017538071788, Correct: 46
Epoch 2, Time: 0.1062s, Loss: 3.5506341063574225, Correct: 45
Epoch 3, Time: 0.1170s, Loss: 1.998159413400078, Correct: 46
Epoch 4, Time: 0.1022s, Loss: 2.3972342118376018, Correct: 46
Epoch 5, Time: 0.1061s, Loss: 2.2274923629282473, Correct: 49
Epoch 6, Time: 0.1013s, Loss: 2.294428721662554, Correct: 49
Epoch 7, Time: 0.1014s, Loss: 1.2406807682933856, Correct: 47
Epoch 8, Time: 0.1017s, Loss: 0.6853444506589734, Correct: 49
Epoch 9, Time: 0.1010s, Loss: 2.376342586455367, Correct: 49
Epoch 10, Time: 0.1073s, Loss: 1.4281098279281814, Correct: 48
Epoch 11, Time: 0.1007s, Loss: 1.3869130603771198, Correct: 49
Epoch 12, Time: 0.1127s, Loss: 1.5954740779988303, Correct: 48
Epoch 13, Time: 0.1015s, Loss: 1.153480385302651, Correct: 48
Epoch 14, Time: 0.1022s, Loss: 1.7701117080409576, Correct: 50
Epoch 15, Time: 0.1044s, Loss: 0.9771185979124205, Correct: 49
Epoch 16, Time: 0.1005s, Loss: 0.6840804489502751, Correct: 49
Epoch 17, Time: 0.1012s, Loss: 1.7421854500524758, Correct: 50
Epoch 18, Time: 0.1014s, Loss: 0.9089557262960555, Correct: 50
Epoch 19, Time: 0.1040s, Loss: 1.8906707871770259, Correct: 49
Epoch 20, Time: 0.1076s, Loss: 0.712606650687272, Correct: 49
Epoch 21, Time: 0.1106s, Loss: 1.2138846007649442, Correct: 49
Epoch 22, Time: 0.1032s, Loss: 0.2367110530752386, Correct: 49
