!cd $DIR; PYTHONPATH=/content/$DIR python3.8 project/run_fast_tensor.py --BACKEND cpu --HIDDEN 200 --DATASET simple --RATE 0.05

/bin/bash: line 1: cd: mle-module-3-HarshiniDonepudi: No such file or directory
Epoch 0, Time: 21.3767s, Loss: 5.927671586231174, Correct: 29
Epoch 1, Time: 0.2074s, Loss: 10.537469715982997, Correct: 40
Epoch 2, Time: 0.2001s, Loss: 1.1913372412956666, Correct: 46
Epoch 3, Time: 0.2053s, Loss: 2.50149692954573, Correct: 43
Epoch 4, Time: 0.2026s, Loss: 2.950489029210922, Correct: 48
Epoch 5, Time: 0.2141s, Loss: 1.4197155983314815, Correct: 50
Epoch 6, Time: 0.2059s, Loss: 1.399269049332989, Correct: 48
Epoch 7, Time: 0.2104s, Loss: 1.068681715002234, Correct: 48
Epoch 8, Time: 0.2092s, Loss: 1.4162201696176115, Correct: 50
Epoch 9, Time: 0.2020s, Loss: 0.5694242057954991, Correct: 50
Epoch 10, Time: 0.2083s, Loss: 1.5941347295824397, Correct: 48
Epoch 11, Time: 0.2214s, Loss: 2.0452541537251596, Correct: 49
Epoch 12, Time: 0.3069s, Loss: 0.507076875803191, Correct: 47
Epoch 13, Time: 0.3044s, Loss: 0.8087946577788887, Correct: 48
Epoch 14, Time: 0.3083s, Loss: 2.2179123692534786, Correct: 50
Epoch 15, Time: 0.3063s, Loss: 1.774828960883889, Correct: 49
Epoch 16, Time: 0.3360s, Loss: 1.1059400988679908, Correct: 47
Epoch 17, Time: 0.3295s, Loss: 1.2022658139556195, Correct: 49
Epoch 18, Time: 0.3254s, Loss: 0.23213375874901263, Correct: 49
Epoch 19, Time: 0.3021s, Loss: 0.6448004481152391, Correct: 49
Epoch 20, Time: 0.3111s, Loss: 1.2206668505546594, Correct: 49
Epoch 21, Time: 0.3283s, Loss: 1.1557791213899713, Correct: 49
Epoch 22, Time: 0.3715s, Loss: 1.2898414145657373, Correct: 47
Epoch 23, Time: 0.3206s, Loss: 1.7878831648508315, Correct: 48
Epoch 24, Time: 0.3453s, Loss: 0.6303027755780444, Correct: 49
Epoch 25, Time: 0.4899s, Loss: 0.47062497693226313, Correct: 49
Epoch 26, Time: 0.3456s, Loss: 0.9157745801472339, Correct: 49
Epoch 27, Time: 0.4679s, Loss: 0.3825512923169932, Correct: 49
Epoch 28, Time: 0.4800s, Loss: 1.16982914763562, Correct: 50
Epoch 29, Time: 0.4306s, Loss: 0.9969682680412141, Correct: 50
Epoch 30, Time: 0.4721s, Loss: 0.8757377617821759, Correct: 48
Epoch 31, Time: 0.4584s, Loss: 0.3442004629962585, Correct: 49
Epoch 32, Time: 0.4255s, Loss: 0.3474731046630696, Correct: 49
Epoch 33, Time: 0.4590s, Loss: 0.3183787586637001, Correct: 50
Epoch 34, Time: 0.4226s, Loss: 0.8879017345670134, Correct: 49
Epoch 35, Time: 0.3519s, Loss: 1.1029247676553884, Correct: 50
Epoch 36, Time: 0.4607s, Loss: 0.8377644271298436, Correct: 50
Epoch 37, Time: 0.3872s, Loss: 0.9668509613126789, Correct: 50
Epoch 38, Time: 0.4149s, Loss: 0.8614037124918719, Correct: 49
